timestamp,source,filename,class,confidence
2025-12-10 05:17:52,upload,Captura de pantalla 2025-12-08 213508.png,paper,0.7240
2025-12-10 05:18:04,upload,Captura de pantalla 2025-12-08 213125.png,plastic,0.9996
2025-12-10 05:18:27,upload,Captura de pantalla 2025-12-08 213125.png,plastic,0.9996
2025-12-10 05:19:02,upload,Captura de pantalla 2025-12-08 213125.png,plastic,0.9996
2025-12-10 05:19:11,upload,Captura de pantalla 2025-12-08 213125.png,plastic,0.9996
2025-12-10 05:19:30,upload,Captura de pantalla 2025-12-09 204910.png,plastic,0.9493
2025-12-10 05:29:41,webcam,webcam_capture,cardboard,0.8251
2025-12-10 05:32:39,webcam,webcam_capture,cardboard,0.8251
2025-12-10 05:33:05,webcam,webcam_capture,cardboard,0.8251
2025-12-10 05:37:30,upload,Captura de pantalla 2025-12-09 210118.png,plastic,0.9280
